종목코드,종목명
095570.KS,AJ네트웍스
006840.KS,AK홀딩스
027410.KS,BGF
282330.KS,BGF리테일
138930.KS,BNK금융지주
001460.KS,BYC
001465.KS,BYC우
001040.KS,CJ
079160.KS,CJ CGV
00104K.KS,CJ4우(전환)
000120.KS,CJ대한통운
011150.KS,CJ씨푸드
011155.KS,CJ씨푸드1우
001045.KS,CJ우
097950.KS,CJ제일제당
097955.KS,CJ제일제당 우
000480.KS,CR홀딩스
000590.KS,CS홀딩스
012030.KS,DB
005830.KS,DB손해보험
016610.KS,DB증권
000990.KS,DB하이텍
000300.KS,DH오토넥스
001530.KS,DI동일
015590.KS,DKME
000210.KS,DL
000215.KS,DL우
375500.KS,DL이앤씨
37550L.KS,DL이앤씨2우(전환)
37550K.KS,DL이앤씨우
007340.KS,DN오토모티브
004840.KS,DRB동일
155660.KS,DSR
069730.KS,DSR제강
017860.KS,DS단석
092780.KS,DYP
017940.KS,E1
383220.KS,F&F
007700.KS,F&F홀딩스
114090.KS,GKL
078930.KS,GS
006360.KS,GS건설
001250.KS,GS글로벌
007070.KS,GS리테일
078935.KS,GS우
499790.KS,GS피앤엘
012630.KS,HDC
039570.KS,HDC랩스
089470.KS,HDC현대EP
294870.KS,HDC현대산업개발
009540.KS,HD한국조선해양
267250.KS,HD현대
267270.KS,HD현대건설기계
443060.KS,HD현대마린솔루션
071970.KS,HD현대마린엔진
010620.KS,HD현대미포
322000.KS,HD현대에너지솔루션
042670.KS,HD현대인프라코어
267260.KS,HD현대일렉트릭
329180.KS,HD현대중공업
097230.KS,HJ중공업
014790.KS,HL D&I
003580.KS,HLB글로벌
204320.KS,HL만도
060980.KS,HL홀딩스
011200.KS,HMM
035000.KS,HS애드
002460.KS,HS화성
487570.KS,HS효성
298050.KS,HS효성첨단소재
003560.KS,IHQ
015360.KS,INVENI
175330.KS,JB금융지주
234080.KS,JW생명과학
001060.KS,JW중외제약
001067.KS,JW중외제약2우B
001065.KS,JW중외제약우
096760.KS,JW홀딩스
105560.KS,KB금융
415640.KS,KB발해인프라
002380.KS,KCC
344820.KS,KCC글라스
009070.KS,KCTC
009440.KS,KC그린홀딩스
119650.KS,KC코트렐
092220.KS,KEC
003620.KS,KG모빌리티
016380.KS,KG스틸
001390.KS,KG케미칼
033180.KS,KH 필룩스
001940.KS,KISCO홀딩스
025000.KS,KPX케미칼
092230.KS,KPX홀딩스
000040.KS,KR모터스
044450.KS,KSS해운
030200.KS,KT
033780.KS,KT&G
058850.KS,KTcs
058860.KS,KTis
093050.KS,LF
003550.KS,LG
034220.KS,LG디스플레이
051900.KS,LG생활건강
051905.KS,LG생활건강우
064400.KS,LG씨엔에스
373220.KS,LG에너지솔루션
003555.KS,LG우
032640.KS,LG유플러스
011070.KS,LG이노텍
066570.KS,LG전자
066575.KS,LG전자우
037560.KS,LG헬로비전
051910.KS,LG화학
051915.KS,LG화학우
079550.KS,LIG넥스원
006260.KS,LS
010120.KS,LS ELECTRIC
000680.KS,LS네트웍스
229640.KS,LS에코에너지
108320.KS,LX세미콘
001120.KS,LX인터내셔널
108670.KS,LX하우시스
108675.KS,LX하우시스우
383800.KS,LX홀딩스
38380K.KS,LX홀딩스1우
023150.KS,MH에탄올
035420.KS,NAVER
181710.KS,NHN
005940.KS,NH투자증권
005945.KS,NH투자증권우
034310.KS,NICE
030190.KS,NICE평가정보
008260.KS,NI스틸
004250.KS,NPC
004255.KS,NPC우
456040.KS,OCI
010060.KS,OCI홀딩스
178920.KS,PI첨단소재
001340.KS,PKC
005490.KS,POSCO홀딩스
010950.KS,S-Oil
010955.KS,S-Oil우
034120.KS,SBS
003080.KS,SB성보
005090.KS,SGC에너지
001380.KS,SG글로벌
004060.KS,SG세계물산
001770.KS,SHD
002360.KS,SH에너지화학
009160.KS,SIMPAC
033530.KS,SJG세종
123700.KS,SJM
025530.KS,SJM홀딩스
034730.KS,SK
011790.KS,SKC
018670.KS,SK가스
001740.KS,SK네트웍스
006120.KS,SK디스커버리
006125.KS,SK디스커버리우
210980.KS,SK디앤디
302440.KS,SK바이오사이언스
326030.KS,SK바이오팜
402340.KS,SK스퀘어
361610.KS,SK아이이테크놀로지
100090.KS,SK오션플랜트
03473K.KS,SK우
096770.KS,SK이노베이션
096775.KS,SK이노베이션우
475150.KS,SK이터닉스
001510.KS,SK증권
001515.KS,SK증권우
285130.KS,SK케미칼
28513K.KS,SK케미칼우
017670.KS,SK텔레콤
000660.KS,SK하이닉스
003570.KS,SNT다이내믹스
064960.KS,SNT모티브
100840.KS,SNT에너지
036530.KS,SNT홀딩스
005610.KS,SPC삼립
011810.KS,STX
465770.KS,STX그린로지스
077970.KS,STX엔진
002820.KS,SUN&L
084870.KS,TBH글로벌
002710.KS,TCC스틸
069260.KS,TKG휴켐스
007980.KS,TP
002900.KS,TYM
024070.KS,WISCOM
037270.KS,YG PLUS
139130.KS,iM금융지주
000500.KS,가온전선
000860.KS,강남제비스코
035250.KS,강원랜드
011420.KS,갤럭시아에스엠
002100.KS,경농
009450.KS,경동나비엔
267290.KS,경동도시가스
012320.KS,경동인베스트
000050.KS,경방
214390.KS,경보제약
012610.KS,경인양행
009140.KS,경인전자
013580.KS,계룡건설
012200.KS,계양전기
012205.KS,계양전기우
002140.KS,고려산업
010130.KS,고려아연
002240.KS,고려제강
009290.KS,광동제약
017040.KS,광명전기
017900.KS,광전자
037710.KS,광주신세계
030610.KS,교보증권
339770.KS,교촌에프앤비
007690.KS,국도화학
001140.KS,국보
