종목코드,종목명
060310.KQ,3S
054620.KQ,APS
265520.KQ,AP시스템
211270.KQ,AP위성
109960.KQ,AP헬스케어
139050.KQ,BF랩스
126600.KQ,BGF에코머티리얼즈
083790.KQ,CG인바이츠
035760.KQ,CJ ENM
311690.KQ,CJ 바이오사이언스
051500.KQ,CJ프레시웨이
058820.KQ,CMG제약
056730.KQ,CNT85
065770.KQ,CS
083660.KQ,CSA 코스믹
477760.KQ,DB금융스팩12호
099520.KQ,DGI
060900.KQ,DGP
290120.KQ,DH오토리드
025440.KQ,DH오토웨어
068790.KQ,DMS
241520.KQ,DSC인베스트먼트
180400.KQ,DXVX
418620.KQ,E8
245620.KQ,EDGC
037370.KQ,EG
050120.KQ,ES큐브
214270.KQ,FSN
130500.KQ,GH신소재
900290.KQ,GRT
083450.KQ,GST
297890.KQ,HB솔루션
440290.KQ,HB인베스트먼트
078150.KQ,HB테크놀러지
195940.KQ,HK이노엔
028300.KQ,HLB
278650.KQ,HLB바이오스텝
067630.KQ,HLB생명과학
024850.KQ,HLB이노베이션
187420.KQ,HLB제넥스
047920.KQ,HLB제약
115450.KQ,HLB테라퓨틱스
046210.KQ,HLB파나진
196300.KQ,HLB펩
403870.KQ,HPSP
036640.KQ,HRS
442770.KQ,IBKS제21호스팩
448760.KQ,IBKS제22호스팩
467930.KQ,IBKS제23호스팩
469480.KQ,IBKS제24호스팩
095340.KQ,ISC
950170.KQ,JTC
067290.KQ,JW신약
035900.KQ,JYP Ent.
318000.KQ,KBG
024840.KQ,KBI메탈
024120.KQ,KB오토시스
455250.KQ,KB제25호스팩
464680.KQ,KB제27호스팩
478390.KQ,KB제29호스팩
486630.KQ,KB제30호스팩
492220.KQ,KB제31호스팩
0037T0.KQ,KB제32호스팩
021320.KQ,KCC건설
044180.KQ,KD
046440.KQ,KG모빌리언스
151860.KQ,KG에코솔루션
035600.KQ,KG이니시스
226360.KQ,KH 건설
111870.KQ,KH 미래물산
060720.KQ,KH바텍
058400.KQ,KNN
101000.KQ,KS인더스트리
089600.KQ,KT나스미디어
418470.KQ,KT밀리의서재
043610.KQ,KT지니뮤직
122450.KQ,KX
052900.KQ,KX하이텍
036560.KQ,KZ정밀
061970.KQ,LB세미콘
309960.KQ,LB인베스트먼트
225190.KQ,LK삼양
060370.KQ,LS마린솔루션
417200.KQ,LS머트리얼즈
078020.KQ,LS증권
322180.KQ,LS티라유텍
476080.KQ,M83
086960.KQ,MDS테크
160550.KQ,NEW
053290.KQ,NE능률
060250.KQ,NHN KCP
104200.KQ,NHN벅스
063570.KQ,NICE인프라
222160.KQ,NPX
024940.KQ,PN풍년
332570.KQ,PS일렉트로닉스
218410.KQ,RFHIC
327260.KQ,RF머트리얼즈
474610.KQ,RF시스템즈
091340.KQ,S&K폴리텍
419530.KQ,SAMG엔터
019550.KQ,SBI인베스트먼트
950110.KQ,SBI핀테크솔루션즈
246960.KQ,SCL사이언스
099220.KQ,SDN
036540.KQ,SFA반도체
255220.KQ,SG
040610.KQ,SG&G
049470.KQ,SGA
184230.KQ,SGA솔루션즈
016250.KQ,SGC E&C
357880.KQ,SKAI
048550.KQ,SM C&C
063440.KQ,SM Life Design
067160.KQ,SOOP
289080.KQ,SV인베스트먼트
013720.KQ,THE CUBE&
089230.KQ,THE E&M
032540.KQ,TJ미디어
048770.KQ,TPC
246690.KQ,TS인베스트먼트
317240.KQ,TS트릴리온
057030.KQ,YBM넷
040300.KQ,YTN
051390.KQ,YW
052220.KQ,iMBC
079940.KQ,가비아
078890.KQ,가온그룹
399720.KQ,가온칩스
036620.KQ,감성코퍼레이션
198440.KQ,강동씨앤엘
217730.KQ,강스템바이오텍
114190.KQ,강원에너지
094480.KQ,갤럭시아머니트리
039240.KQ,경남스틸
053950.KQ,경남제약
011040.KQ,경동제약
024910.KQ,경창산업
049720.KQ,고려신용정보
014570.KQ,고려제약
348150.KQ,고바이오랩
950190.KQ,고스트스튜디오
098460.KQ,고영
035290.KQ,골드앤에스
215000.KQ,골프존
121440.KQ,골프존홀딩스
366030.KQ,공구우먼
014200.KQ,광림
029480.KQ,광무
026910.KQ,광진실업
456490.KQ,교보14호스팩
465320.KQ,교보15호스팩
482520.KQ,교보16호스팩
489210.KQ,교보17호스팩
053270.KQ,구영테크
066620.KQ,국보디자인
043650.KQ,국순당
006050.KQ,국영지앤엠
060480.KQ,국일신동
078130.KQ,국일제지
307750.KQ,국전약품
035080.KQ,그래디언트
453450.KQ,그리드위즈
204020.KQ,그리티
402490.KQ,그린리소스
114450.KQ,그린생명과학
186230.KQ,그린플러스
900070.KQ,글로벌에스엠
204620.KQ,글로벌텍스프리
019660.KQ,글로본
053260.KQ,금강철강
282720.KQ,금양그린파워
036190.KQ,금화피에스시
049080.KQ,기가레인
420770.KQ,기가비스
035460.KQ,기산텔레콤
407400.KQ,꿈비
187790.KQ,나노
121600.KQ,나노신소재
286750.KQ,나노실리칸첨단소재
247660.KQ,나노씨엠에스
039860.KQ,나노엔텍
091970.KQ,나노캠텍
417010.KQ,나노팀
405920.KQ,나라셀라
051490.KQ,나라엠앤디
137080.KQ,나래나노텍
190510.KQ,나무가
242040.KQ,나무기술
293580.KQ,나우IB
459510.KQ,나우로보틱스
138610.KQ,나이벡
130580.KQ,나이스디앤비
036800.KQ,나이스정보통신
267320.KQ,나인테크
111710.KQ,남화산업
091590.KQ,남화토건
168330.KQ,내츄럴엔도텍
094860.KQ,네오리진
253590.KQ,네오셈
212560.KQ,네오오토
095660.KQ,네오위즈
042420.KQ,네오위즈홀딩스
950220.KQ,네오이뮨텍
311390.KQ,네오크레마
085910.KQ,네오티스
092730.KQ,네오팜
290660.KQ,네오펙트
306620.KQ,네온테크
